CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
TEA24-2,TEA-24h,1320.9626,2181.7069,1.81E+02,5.65E+02,1.26E+04,2672.1705,4594.2019,6507.9722,1382.2383,6.83E+03,1.05E+04,4.83E+03,2.68E+02,8.70E+03
TEA24-3,TEA-24h,1.01E+03,1.08E+03,4.15E+02,6.35E+02,1.51E+04,1.30E+03,1.99E+03,,71.6979,6.46E+03,1.01E+04,5.48E+03,8.95E+01,1.43E+03
TEA24-4,TEA-24h,5.38E+02,3.72E+02,1.54E+02,3.27E+02,8.35E+03,7.17E+02,6.48E+02,,4.78E+01,6.08E+03,9.74E+03,5.15E+03,1.52E+01,1.77E+00
TEA24-5,TEA-24h,8.23E+02,9.59E+02,3.93E+02,7.21E+02,1.14E+04,8.95E+02,1.25E+03,101.0783,7.67E+01,1.08E+04,1.51E+04,8.77E+03,2.30E+01,
TEA24-6,TEA-24h,8.71E+02,1.05E+03,2.30E+02,3.94E+02,1.49E+04,2.23E+03,2.82E+03,1.79E+03,7.88E+02,1.01E+04,1.47E+04,7.20E+03,4.11E+02,3064.5297
TEA24-7,TEA-24h,8.33E+02,1.64E+03,4.53E+02,6.91E+02,1.65E+04,1244.4055,2.01E+03,,7.8075,1.04E+04,1.36E+04,9.75E+03,1.14E+01,5.95E+02
TEA24-8,TEA-24h,2.69E+02,588.3206,142.1482,2.87E+02,6259.3675,140.3541,3.42E+02,,,6831.7702,9.86E+03,6813.8449,1.11E+01,
TEA24-9,TEA-24h,1.79E+02,3.53E+02,1.22E+02,2.03E+02,7.04E+03,3.66E+02,9.08E+02,790.2015,40.0288,2.22E+03,2.70E+03,1.48E+03,,
TEA24-10,TEA-24h,3.39E+02,3.76E+02,1.13E+02,2.38E+02,3.77E+03,4.14E+02,4.63E+02,1.14E+02,6.41E+01,5.46E+03,5.51E+03,3.90E+03,,
TEA24-11,TEA-24h,2.04E+02,3.62E+02,9.43E+01,1.51E+02,9.07E+03,7.46E+02,1.17E+03,,,1910.1376,2.29E+03,1475.4746,2.95E+01,
TEA24-12,TEA-24h,1.19E+03,4.98E+02,2.73E+02,4.64E+02,1.30E+04,1453.7559,2.62E+03,162.9335,,1.06E+04,1.30E+04,8.15E+03,3.21E+02,1.31E+01
TEA24-13,TEA-24h,1.20E+03,9.38E+02,1.59E+02,2.75E+02,9395.2205,2.31E+03,2.82E+03,2.16E+03,1618.5113,4649.7561,5.60E+03,3239.4879,333.9099,1692.1769
TEA24-15,TEA-24h,455.2943,734.3248,228.5191,524.1711,20605.0438,1433.6476,2156.6466,25.9036,,11548.0077,11025.5022,9096.7118,,