Experiment,Page,Recording,Type,Pharm,Condition,Include,Notes,In4,In9
190122,281,4,tevc_40,none,Baseline,,,4,3
190122,281,5,tevc_50,none,Baseline,,,4,3
190122,281,6,tevc_60,none,Baseline,,,4,3
190122,281,7,tevc_70,none,Baseline,,,4,3
190122,281,8,tevc_80,none,Baseline,,,4,3
190122,281,9,htk,none,Baseline,,,4,3
190122,281,10,a,none,Baseline,,,4,3
190122,281,11,htkc,none,Baseline,,,4,3
190122,281,12,ac,none,Baseline,,,4,3
190122,281,13,h,none,Baseline,,,4,3
190122,281,14,h10,none,Baseline,,,4,3
190122,281,15,fi,none,Baseline,,,4,3
190122,281,16,fi_50,none,Baseline,,,4,3
190122,281,17,igj_50,none,Baseline,,,4,3
190122,281,18,igj,none,Baseline,,,4,3
190122,281,19,epsp,none,Baseline,,,4,3
190122,281,20,epsp_50,none,Baseline,,,4,3
190122,281,21,gf_wash,,,,,4,3
190122,281,22,gf_tea,tea,,,,4,3
190122,281,23,gf_tea,tea,,,,4,3
190122,281,24,gf_tea,tea,,,,4,3
190122,281,25,gf_tea,tea,,,,4,3
190122,281,26,gf_tea,tea,,,,4,3
190122,281,27,gf_tea,tea,,,,4,3
190122,281,28,gf_tea,tea,,,,4,3
190122,281,29,gf_tea,tea,,,,4,3
190122,281,30,gf_tea,tea,,,,4,3
190122,281,31,gf_tea,tea,,,,4,3
190122,281,32,gf_tea,tea,,,,4,3
190122,281,33,gf_tea,tea,,,,4,3
190122,281,34,gf_tea,tea,,,,4,3
190122,281,35,gf_tea,tea,,,,4,3
190122,281,36,gf_suc,tea,,,,4,3
190122,281,37,gf_suc,tea,,,,4,3
190122,281,38,gf_suc,tea,,,,4,3
190122,281,39,gf_suc,tea,,,,4,3
190122,281,40,tevc_40,tea,Compensated,,,4,3
190122,281,41,tevc_50,tea,Compensated,,,4,3
190122,281,42,tevc_60,tea,Compensated,,,4,3
190122,281,43,tevc_70,tea,Compensated,,,4,3
190122,281,44,tevc_80,tea,Compensated,,,4,3
190122,281,45,htk,tea,Compensated,,,4,3
190122,281,46,a,tea,Compensated,,,4,3
190122,281,47,htkc,tea,Compensated,,,4,3
190122,281,48,ac,tea,Compensated,,,4,3
190122,281,49,h,tea,Compensated,,,4,3
190122,281,50,h10,tea,Compensated,,,4,3
190122,281,51,h10,tea,Compensated,,,4,3
190122,281,52,,tea,Compensated,,,4,3
190122,281,53,epsp,tea,Compensated,,,4,3
190122,281,54,epsp_50,tea,Compensated,,,4,3
190122,281,55,igj_50,tea,Compensated,,,4,3
190122,281,56,igj,tea,Compensated,,,4,3
190122,281,57,fi,tea,Compensated,,,4,3
190122,281,58,fi_50,tea,Compensated,,,4,3
190115,276,0,gf,,,,,4,3
190115,276,1,,,,,,4,3
190115,276,2,,,,,,4,3
190115,276,3,gj_suc,,,,,4,3
190115,276,4,,,,,,4,3
190115,276,5,,,,,,4,3
190115,276,6,tevc_40,none,Baseline,,,4,3
190115,276,7,tevc_50,none,Baseline,,,4,3
190115,276,8,tevc_60,none,Baseline,,,4,3
190115,276,9,tevc_70,none,Baseline,,,4,3
190115,276,10,tevc_80,none,Baseline,,,4,3
190115,276,11,htk,none,Baseline,,,4,3
190115,276,12,a,none,Baseline,,,4,3
190115,276,13,,none,Baseline,,,4,3
190115,276,14,htkc,none,Baseline,,,4,3
190115,276,15,ac,none,Baseline,,,4,3
190115,276,16,h,none,Baseline,,,4,3
190115,276,17,h10,none,Baseline,,,4,3
190115,276,18,tecc,none,Baseline,,,4,3
190115,276,19,epsp,none,Baseline,,,4,3
190115,276,20,fi,none,Baseline,,,4,3
190115,276,21,fi_50,none,Baseline,,,4,3
190115,276,22,epsp_50,none,Baseline,,,4,3
190115,276,23,tecc_50,none,Baseline,,,4,3
190115,276,24,gf_wash,,,,,4,3
190115,276,25,gf_tea,tea,,,,4,3
190115,276,26,gf_tea,tea,,,,4,3
190115,276,27,gf_tea,tea,,,,4,3
190115,276,28,gf_tea,tea,,,,4,3
190115,276,29,gf_tea,tea,,,,4,3
190115,276,30,gf_tea,tea,,,,4,3
190115,276,31,gf_tea,tea,,,,4,3
190115,276,32,gf_tea,tea,,,,4,3
190115,276,33,gf_tea,tea,,,,4,3
190115,276,34,gf_tea,tea,,,,4,3
190115,276,35,gf_tea,tea,,,,4,3
190115,276,36,gf_tea,tea,,,,4,3
190115,276,37,gf_tea,tea,,,,4,3
190115,276,38,gj_suc,tea,,,,4,3
190115,276,39,htk,tea,Compensated,,,4,3
190115,276,40,a,tea,Compensated,,,4,3
190115,276,41,htkc,tea,Compensated,,,4,3
190115,276,42,ac,tea,Compensated,,,4,3
190115,276,43,h,tea,Compensated,,,4,3
190115,276,44,h10,tea,Compensated,,,4,3
190115,276,45,tevc_40,tea,Compensated,,,4,3
190115,276,46,tevc_50,tea,Compensated,,,4,3
190115,276,47,tevc_60,tea,Compensated,,,4,3
190115,276,48,tevc_70,tea,Compensated,,,4,3
190115,276,49,tevc_80,tea,Compensated,,,4,3
190115,276,50,tecc,tea,Compensated,,,4,3
190115,276,51,tecc_50,tea,Compensated,,,4,3
190115,276,52,epsp_50,tea,Compensated,,,4,3
190115,276,53,epsp,tea,Compensated,,,4,3
190115,276,54,fi,tea,Compensated,,,4,3
190115,276,55,fi_50,tea,Compensated,,,4,3
190115,276,56,,tea,Compensated,,,4,3
190115,276,57,h,tea,Compensated,,,4,3
190115,276,58,h10,tea,Compensated,,,4,3
190115,276,59,gf_wash,tea,Compensated,,,4,3
190115,276,60,,tea,,,,,
190115,276,61,,tea,,,,,
190115,276,62,,tea,,,,,
190115,277,63,gf,tea,Delayed,,,4,0
190115,277,64,gf_suc,tea,Delayed,,,4,0
190115,277,65,gf_suc,tea,Delayed,,,4,0
190115,277,66,gf_suc,tea,Delayed,,,4,0
190115,277,67,gf_suc,tea,Delayed,,,4,0
190115,277,68,gf_suc,tea,Delayed,,,4,0
190115,277,69,fi,tea,Delayed,,,4,0
190115,277,70,fi_50,tea,Delayed,,,4,0
190115,277,71,igj_50,tea,Delayed,,,4,0
190115,277,72,igj,tea,Delayed,,,4,0
190115,277,73,epsp,tea,Delayed,,,4,0
190115,277,74,epsp_50,tea,Delayed,,,4,0
190115,277,75,htk,tea,Delayed,,,4,0
190115,277,76,htkc,tea,Delayed,,,4,0
190115,277,77,a,tea,Delayed,,,4,0
190115,277,78,ac,tea,Delayed,,,4,0
190115,277,79,h,tea,Delayed,,,4,0
190115,277,80,h10,tea,Delayed,,,4,0
190312,292,0,gf,,unk,,,0,4
190312,292,1,gf,,unk,,,0,4
190312,292,2,gf_4ap,4ap,unk,,,0,4
190312,292,3,gf_4ap,4ap,unk,,,0,4
190312,292,4,gf_4ap,4ap,unk,,,0,4
190312,292,5,gf_4ap,4ap,unk,,,0,4
190312,292,6,gf_4ap,4ap,unk,,,0,4
190312,292,7,gf_4ap,4ap,unk,,,0,4
190312,292,8,gf_4ap,4ap,unk,,,0,4
190312,292,9,gf_4ap,4ap,unk,,,0,4
190312,292,10,gf_4ap,4ap,unk,,,0,4
190312,292,11,gf_4ap,4ap,unk,,,0,4
190312,292,12,gf_4ap,4ap,unk,,,0,4
190312,292,13,gf_ttx,4ap,unk,,,0,4
190312,292,14,gf_ttx,4ap,unk,,,0,4
190312,292,15,gf_ttx,4ap,unk,,,0,4
190312,292,16,igj,4ap,unk,,,0,4
190312,292,17,igj_50,4ap,unk,,,0,4
190312,292,18,fi_50,4ap,unk,,,0,4
190312,292,19,fi,4ap,unk,,,0,4
190312,292,20,epsp,4ap,unk,,,0,4
190312,292,21,epsp_50,4ap,unk,,,0,4
190312,292,22,htk,4ap,unk,,,0,4
190312,292,23,a,4ap,unk,,,0,4
190312,292,24,htkc,4ap,unk,,,0,4
190312,292,25,ac,4ap,unk,,,0,4
190702,16,0,ec,,,,,,
190702,16,1,ec,tea,Delayed,,,5,3
190702,16,2,gf_tea,tea,Delayed,,,5,3
190702,16,3,gf_tea,tea,Delayed,,,5,4
190702,16,4,gf_tea,tea,Delayed,,,5,4
190702,16,5,gf_ttx,tea,Delayed,,,5,4
190702,16,6,,tea,Delayed,,,5,4
190702,16,7,igj,tea,Delayed,,,5,4
190702,16,8,igj_50,tea,Delayed,,,,4
190702,16,9,fi_50,tea,Delayed,,,,4
190702,16,10,h,tea,Delayed,,,,4
190702,16,11,a,tea,Delayed,,,,4
190702,16,12,htc,tea,Delayed,,,,4
190702,16,13,ac,tea,Delayed,,,,4
190702,16,14,igj,tea,Delayed,,,,4
190702,16,15,igj_50,tea,Delayed,,,,4
190702,16,16,fi_50,tea,Delayed,,,,4
190702,16,17,fi,tea,Delayed,,,,4
190702,16,18,epsp,tea,Delayed,,,,4
190702,16,19,epsp_50,tea,Delayed,,,,4
190702,16,20,a,tea,Delayed,,,,4
190702,16,21,a,tea.4ap,Delayed,,,,4
190702,16,22,a,tea.4ap,Delayed,,,,4
190702,16,23,a,tea.4ap,Delayed,,,,4
190702,16,24,a,tea.4ap,Delayed,,,,4
190702,16,25,a,tea.4ap,Delayed,,,,4
190702,16,26,a,tea.4ap,Delayed,,,,4
190702,16,27,a,tea.4ap,Delayed,,,,4
190702,16,28,a,tea.4ap,Delayed,,,,4
190702,16,29,htk,tea.4ap,Delayed,,,,4
190702,16,30,fi,tea.4ap,Delayed,,,,
190702,16,31,fi_50,tea.4ap,Delayed,,,,
190702,16,32,epsp,tea.4ap,Delayed,,,,
190702,16,33,epsp_50,tea.4ap,Delayed,,,,
190702,16,34,igj,tea.4ap,Delayed,,,,
190702,16,35,igj_50,tea.4ap,Delayed,,,,
190702a,16,0,,tea,,,,5,
190702a,16,1,,tea,,,,5,
190702a,16,2,ec,tea,Delayed,,,5,
190702a,16,3,igj,tea,Delayed,,,5,
190702a,16,4,igj_50,tea,Delayed,,,5,
190702a,16,5,epsp_50,tea,Delayed,,,5,
190702a,16,6,epsp,tea,Delayed,,,5,
190702a,16,7,fi,tea,Delayed,,,5,
190702a,16,8,fi_50,tea,Delayed,,,5,
190702a,16,9,,tea,Delayed,,,5,
190702a,16,10,htk,tea,Delayed,,,5,
190702a,16,11,a,tea,Delayed,,,5,
190702a,16,12,htkc,tea,Delayed,,,5,
190702a,16,13,ac,tea,Delayed,,,5,
190702a,16,14,a,tea.4ap,Delayed,,,5,
190702a,16,15,a,tea.4ap,Delayed,,,5,
190702a,16,16,a,tea.4ap,Delayed,,,5,
190308,###,0,,tea,,,,,3
190308,###,1,,tea,,,,,3
190308,###,2,,tea,,,,,3
190308,###,3,,tea,,,,,3
190308,###,4,,tea,,,,,3
190308,###,5,,tea,,,,,3
190308,###,6,,tea,,,,,3
190308,###,7,,tea,,,,,3
190308,###,8,,tea,,,,,3
190308,###,9,,tea,,,,,3
190308,###,10,,tea,,,,,3
190308,###,11,,tea,,,,,3
190308,###,12,,tea,,,,,3
190308,###,13,gf_ttx,tea,,,,,3
190308,###,14,,tea,,,,,3
190308,###,15,htk,tea,Compensated,,,,3
190308,###,16,a,tea,Compensated,,,,3
190308,###,17,htkc,tea,Compensated,,,,3
190308,###,18,ac,tea,Compensated,,,,3
190308,###,19,tevc_40,tea,Compensated,,,,3
190308,###,20,tevc_60,tea,Compensated,,,,3
190308,###,21,tevc_80,tea,Compensated,,,,3
190308,###,22,fi,tea,Compensated,,,,3
190308,###,23,fi,tea,Compensated,,,,3
190308,###,24,fi_50,tea,Compensated,,,,3
190308,###,25,igj_50,tea,Compensated,,,,3
190308,###,26,igj,tea,Compensated,,,,3
190308,###,27,epsp,tea,Compensated,,,,3
190308,###,28,epsp_50,tea,Compensated,,,,3
190306,290,0,,,,,,4,3
190306,290,1,,,,,,4,3
190306,290,2,,,,,,4,3
190306,290,3,,,,,,4,3
190306,290,4,,,,,,4,3
190306,290,5,,,,,,4,3
190306,290,6,,,,,,4,3
190306,290,7,,,,,,4,3
190306,290,8,,,,,,4,3
190306,290,9,,,,,,4,3
190306,290,10,,,,,,4,3
190306,290,11,,,,,,4,3
190306,290,12,,,,,,4,3
190306,290,13,,,,,,4,3
190306,290,14,,,,,,4,3
190306,290,15,,,,,,4,3
190306,290,16,,,,,,4,3
190306,290,17,,,,,,4,3
190306,290,18,,,,,,4,3
190306,290,19,,,,,,4,3
190306,290,20,,,,,,4,3
190306,290,21,,,,,,4,3
190306,290,22,,,,,,4,3
190306,290,23,,,,,,4,3
190306,290,24,,,,,,4,3
190306,290,25,,,,,,4,3
190306,290,26,,,,,,4,3
190306,290,27,,,,,,4,3
190306,290,28,,,,,,4,3
190306,290,29,,,,,,4,3
190306,290,30,,,,,,4,3
190306,290,31,,,,,,4,3
190306,290,32,,,,,,4,3
190306,290,33,,,,,,4,3
190306,290,34,,,,,,4,3
190306,290,35,gf_injs,,,,"inj 1, 3, 5 nA",4,3
190306,290,36,,tea,,,,4,3
190306,290,37,,tea,,,,4,3
190306,290,38,,tea,,,,4,3
190306,290,39,,tea,,,,4,3
190306,290,40,,tea,,,,4,3
190306,290,41,,tea,,,,4,3
190306,290,42,,tea,,,,4,3
190306,290,43,,tea,,,,4,3
190306,290,44,,tea,,,,4,3
190306,290,45,,tea,,,,4,3
190306,290,46,,tea,,,,4,3
190306,290,47,,tea,,,,4,3
190306,290,48,gf_ttx,tea,Compensated,,,4,3
190306,290,49,,tea,Compensated,,,4,3
190306,290,50,,tea,Compensated,,,4,3
190306,290,51,igj,tea,Compensated,,,4,3
190306,290,52,igj_50,tea,Compensated,,,4,3
190306,290,53,epsp_50,tea,Compensated,,,4,3
190306,290,54,epsp,tea,Compensated,,,4,3
190306,290,55,fi,tea,Compensated,,,4,3
190306,290,56,fi_50,tea,Compensated,,,4,3
190306,290,57,tevc_40,tea,Compensated,,,4,3
190306,290,58,tevc_80,tea,Compensated,,,4,3
190306,290,59,tevc_60,tea,Compensated,,,4,3
190306,290,60,htk,tea,Compensated,,,4,3
190306,290,61,a,tea,Compensated,,,4,3
190306,290,62,htkc,tea,Compensated,,,4,3
190306,290,63,ac,tea,Compensated,,,4,3
190306,290,64,h,tea,Compensated,,,4,3
190225a,289,0,gf_injs,,,,,3,4
190225a,289,1,,tea,,,,3,4
190225a,289,2,,tea,,,,3,4
190225a,289,3,,tea,,,,3,4
190225a,289,4,,tea,,,,3,4
190225a,289,5,,tea,,,,3,4
190225a,289,6,,tea,,,,3,4
190225a,289,7,,tea,,,,3,4
190225a,289,8,,tea,,,,3,4
190225a,289,9,,tea,,,,3,4
190225a,289,10,,tea,,,,3,4
190225a,289,11,,tea,,,,3,4
190225a,289,12,,tea,,,,3,4
190225a,289,13,,tea,,,,3,4
190225a,289,14,gf_ttx,tea,Compensated,,,3,4
190225a,289,15,gf_ttx,tea,Compensated,,,3,4
190225a,289,16,htk,tea,Compensated,,,3,4
190225a,289,17,a,tea,Compensated,,,3,4
190225a,289,18,htkc,tea,Compensated,,,3,4
190225a,289,19,ac,tea,Compensated,,,3,4
190225a,289,20,tevc_40,tea,Compensated,,,3,4
190225a,289,21,tevc_60,tea,Compensated,,,3,4
190225a,289,22,tevc_80,tea,Compensated,,,3,4
190225a,289,23,igj,tea,Compensated,,,3,4
190225a,289,24,igj_50,tea,Compensated,,,3,4
190225a,289,25,epsp_50,tea,Compensated,,,3,4
190225a,289,26,epsp,tea,Compensated,,,3,4
190225a,289,27,fi,tea,Compensated,,,3,4
190225a,289,28,fi_50,tea,Compensated,,,3,4
190225a,289,29,htk,tea,Compensated,,,3,5
190225a,289,30,a,tea,Compensated,,,3,5
190225a,289,31,htkc,tea,Compensated,,,3,5
190225a,289,32,ac,tea,Compensated,,,3,5
190225a,289,33,tevc_40,tea,Compensated,,,3,5
190225a,289,34,tevc_60,tea,Compensated,,,3,5
190225a,289,35,tevc_80,tea,Compensated,,,3,5
190225a,289,36,igj,tea,Compensated,,,3,5
190225a,289,37,igj_50,tea,Compensated,,,3,5
190225a,289,38,epsp_50,tea,Compensated,,,3,5
190225a,289,39,epsp,tea,Compensated,,,3,5
190225a,289,40,fi,tea,Compensated,,,3,5
190225a,289,41,fi_50,tea,Compensated,,,3,5
190225,288,0,gf,,,,,5,4
190225,288,1,gf_injs,,,,,5,4
190225,288,2,,,,,,5,4
190225,288,3,,,,,,5,4
190225,288,4,,,,,,5,4
190225,288,5,,,,,,5,4
190225,288,6,,,,,,5,4
190225,288,7,,,,,,5,4
190225,288,8,,,,,,5,4
190225,288,9,,,,,,5,4
190225,288,10,,,,,,5,4
190225,288,11,,,,,,5,4
190225,288,12,,,,,,5,4
190225,288,13,,,,,,5,4
190225,288,14,,,,,,5,4
190225,288,15,,,,,,5,4
190225,288,16,,,,,,5,4
190225,288,17,,,,,,5,4
190225,288,18,,,,,,5,4
190225,288,19,,,,,,5,4
190225,288,20,htk,tea,Compensated,,,5,4
190225,288,21,a,tea,Compensated,,,5,4
190225,288,22,htkc,tea,Compensated,,,5,4
190225,288,23,ac,tea,Compensated,,,5,4
190225,288,24,h,tea,Compensated,,,5,4
190225,288,25,h10,tea,Compensated,,,5,4
190225,288,26,tevc_40,tea,Compensated,,,5,4
190225,288,27,tevc_60,tea,Compensated,,,5,4
190225,288,28,tevc_80,tea,Compensated,,,5,4
190225,288,29,,tea,Compensated,,,5,4
190225,288,30,fi_50,tea,Compensated,,,5,4
190225,288,31,fi,tea,Compensated,,,5,4
190225,288,32,,tea,Compensated,,,5,4
190225,288,33,igj,tea,Compensated,,,5,4
190225,288,34,igj_50,tea,Compensated,,,5,4
190225,288,35,epsp_50,tea,Compensated,,,5,4
190225,288,36,epsp,tea,Compensated,,,5,4
190922a,287,0,gf_injs,,,,,?,?
190922a,287,1,,tea,,,,,
190922a,287,2,,,,,,,
190922a,287,3,,,,,,,
190922a,287,4,,,,,,,
190922a,287,5,,,,,,,
190922a,287,6,,,,,,,
190922a,287,7,,,,,,,
190922a,287,8,,,,,,,
190922a,287,9,,,,,,,
190922a,287,10,,,,,,,
190922a,287,11,,,,,,,
190922a,287,12,,,,,,,
190922a,287,13,gf_cut,,,,,,
190922a,287,14,,,,,,,
190922a,287,15,,,,,,,
190922a,287,16,htk,,Compensated,f,,,
190922a,287,17,htk,,Compensated,f,,,
190922a,287,18,gf,,Compensated,,,,
190922a,287,19,htk,,Compensated,f,,,
190922a,287,20,a,,Compensated,,,,
190922a,287,21,htk,,Compensated,,,,
190922a,287,22,htkc,,Compensated,,,,
190922a,287,23,htkc,,Compensated,,,,
190922a,287,24,ac,,Compensated,,,,
190922a,287,25,ac,,Compensated,,,,
190922a,287,26,tevc_40,,Compensated,,,,
190922a,287,27,fi,,Compensated,,,,
190922a,287,28,fi_50,,Compensated,,,,
190922a,287,29,igj_50,,Compensated,,,,
190922a,287,30,igj,,Compensated,,,,
190922a,287,31,epsp,,Compensated,,,,
190922a,287,32,epsp_50,,Compensated,,,,
190220,286,0,,,,,,4,3
190220,286,1,gf_injs,,,,,4,3
190220,286,2,,,,,,4,3
190220,286,3,,tea,,,,4,3
190220,286,4,,,,,,4,3
190220,286,5,,,,,,4,3
190220,286,6,,,,,,4,3
190220,286,7,,,,,,4,3
190220,286,8,,,,,,4,3
190220,286,9,,,,,,4,3
190220,286,10,,,,,,4,3
190220,286,11,,,,,,4,3
190220,286,12,,,,,,4,3
190220,286,13,,,,,,4,3
190220,286,14,,,,,,4,3
190220,286,15,,,,,,4,3
190220,286,16,,,,,,4,3
190220,286,17,gf_ttx,,,,,4,3
190220,286,18,,,,,,4,3
190220,286,19,,,,,,4,3
190220,286,20,tevc,,Compensated,,,4,3
190220,286,21,htk,,Compensated,,,4,3
190220,286,22,a,,Compensated,,,4,3
190220,286,23,htkc,,Compensated,,,4,3
190220,286,24,ac,,Compensated,,,4,3
190220,286,25,igj,,Compensated,,,4,3
190220,286,26,epsp,,Compensated,,,4,3
190220,286,27,epsp_50,,Compensated,,,4,3
190220,286,28,igj_50,,Compensated,,,4,3
190220,286,29,fi_50,,Compensated,,,4,3
190220,286,30,fi,,Compensated,,,4,3
190206,283,0,gf_suc,,,,,3,4
190206,283,1,,,,,,3,4
190206,283,2,,,,,,3,4
190206,283,3,,,,,,3,4
190206,283,4,,,,,,3,4
190206,283,5,fi,,Baseline,,,3,4
190206,283,6,fi_50,,Baseline,,,3,4
190206,283,7,igj_50,,Baseline,,,3,4
190206,283,8,igj,,Baseline,,,3,4
190206,283,9,epsp,,Baseline,,,3,4
190206,283,10,epsp_50,,Baseline,,,3,4
190206,283,11,htk,,Baseline,,,3,4
190206,283,12,htkc,,Baseline,,,3,4
190206,283,13,a,,Baseline,,,3,4
190206,283,14,ac,,Baseline,,,3,4
190206,283,15,tevc_40,,Baseline,,,3,4
190206,283,16,tevc_50,,Baseline,,,3,4
190206,283,17,tevc_60,,Baseline,,,3,4
190206,283,18,tevc_70,,Baseline,,,3,4
190206,283,19,tevc_80,,Baseline,,,3,4
190206,283,20,h,,Baseline,,,3,4
190206,283,21,h10,,Baseline,,,3,4
190206,283,22,,,,,,3,4
190206,283,23,,,,,,3,4
190206,283,24,,,,,,3,4
190206,283,25,,,,,,3,4
190206,283,26,,,,,,3,4
190206,283,27,,,,,,3,4
190206,283,28,,,,,,3,4
190206,283,29,,,,,,3,4
190206,283,30,,,,,,3,4
190206,283,31,,,,,,3,4
190206,283,32,,,,,,3,4
190206,283,33,,,,,,3,4
190206,283,34,,,,,,3,4
190206,283,35,,,,,,3,4
190206,283,36,gf_suc,,Compensated,,,3,4
190206,283,37,htk,,Compensated,,,3,4
190206,283,38,htkc,,Compensated,,,3,4
190206,283,39,a,,Compensated,,,3,4
190206,283,40,ac,,Compensated,,,3,4
190206,283,41,tevc_40,,Compensated,,,3,4
190206,283,42,tevc_50,,Compensated,,,3,4
190206,283,43,tevc_60,,Compensated,,,3,4
190206,283,44,tevc_70,,Compensated,,,3,4
190206,283,45,tevc_80,,Compensated,,,3,4
190206,283,46,h,,Compensated,,,3,4
190206,283,47,h10,,Compensated,,,3,4
190206,283,48,igj,,Compensated,,,3,4
190206,283,49,igj_50,,Compensated,,,3,4
190206,283,50,fi_50,,Compensated,,,3,4
190206,283,51,fi.ec_50,,Compensated,,,3,4
190206,283,52,fi.ec,,Compensated,,,3,4
190206,283,53,epsp,,Compensated,,,3,4
190206,283,54,epsp_50,,Compensated,,,3,4
190206,283,55,,,,,,,
190206,283,56,gf_suc,,Delayed,,,0,4
190206,283,57,,,Delayed,,,0,4
190206,283,58,,,Delayed,,,0,4
190206,283,59,,,Delayed,,,0,4
190206,283,60,htk,,Delayed,,epsp activity,0,4
190206,283,61,htkc,,Delayed,,,0,4
190206,283,62,a,,Delayed,,,0,4
190206,283,63,ac,,Delayed,,,0,4
190206,283,64,h,,Delayed,,,0,4
190206,283,65,h10,,Delayed,,,0,4
190206,284,66,htk,,Delayed,,,0,4
190206,284,67,htkc,,Delayed,,,0,4
190206,284,68,htkls,,Delayed,,,0,4
190206,284,69,igj,,Delayed,,,0,4
190206,284,70,igj_50,,Delayed,,,0,4
190206,284,71,fi_50,,Delayed,,,0,4
190206,284,72,fi.ec_50,,Delayed,,,0,4
190206,284,73,fi.ec,,Delayed,,,0,4
190206,284,74,epsp,,Delayed,,,0,4
190206,284,75,epsp_50,,Delayed,,,0,4
190122,282,0,,,,,,?,?
190122,282,1,,,,,,?,?
190122,282,2,,,,,,?,?
190122,282,3,,,,,,?,?
190122,282,4,,,,,,?,?
190122,282,5,,,,,,?,?
190122,282,6,,,,,,?,?
190122,282,7,,,,,,?,?
190122,282,8,,,,,,?,?
190122,282,9,,,,,,?,?
190122,282,10,,,,,,?,?
190122,282,11,,,,,,?,?
190122,282,12,,,,,,?,?
190122,282,13,,,,,,?,?
190122,282,14,,,,,,?,?
190122,282,15,,,,,,?,?
190122,282,16,,,,,,?,?
190122,282,17,,,,,,?,?
190122,282,18,,,,,,?,?
190122,282,19,,,,,,?,?
190122,282,20,,,,,,?,?
190122,282,21,,,,,,?,?
190122,282,22,,,,,,?,?
190122,282,23,,,,,,?,?
190122,282,24,,,,,,?,?
190122,282,25,,,,,,?,?
190122,282,26,,,,,,?,?
190122,282,27,,,,,,?,?
190122,282,28,,,,,,?,?
190122,282,29,,,,,,?,?
190122,282,30,,,,,,?,?
190122,282,31,,,,,,?,?
190122,282,32,,,,,,?,?
190122,282,33,,,,,,?,?
190122,282,34,,,,,,?,?
190122,282,35,,,,,,?,?
190122,282,36,,,,,,?,?
190122,282,37,,,,,,?,?
190122,282,38,,,,,,?,?
190122,282,39,,,,,,?,?
190122,282,40,,,,,,?,?
190122,282,41,,,,,,?,?
190122,282,42,,,,,,?,?
190122,282,43,,,,,,?,?
190122,282,44,,,,,,?,?
190122,282,45,,,,,,?,?
190122,282,46,,,,,,?,?
190122,282,47,,,,,,?,?
190122,282,48,,,,,,?,?
190122,282,49,,,,,,?,?
190122,282,50,,,,,,?,?
190122,282,51,,,,,,?,?
190122,282,52,,,,,,?,?
190122,282,53,,,,,,?,?
190122,282,54,,,,,,?,?
190122,282,55,,,,,,?,?
190122,282,56,,,,,,?,?
190122,282,57,,,,,,?,?
190122,282,58,,,,,,?,?
190122,282,59,,,,,,?,?
190122,282,60,,,,,,?,?
190122,282,61,,,,,,?,?
190122,282,62,,,,,,?,?
190122,282,63,,,,,,?,?
190122,282,64,,,,,,?,?
190122,282,65,tevc_40,,Delayed,,,?,?
190122,282,66,tevc_50,,Delayed,,,?,?
190122,282,67,tevc_60,,Delayed,,,?,?
190122,282,68,tevc_70,,Delayed,,,?,?
190122,282,69,tevc_80,,Delayed,,,?,?
190122,282,70,htk,,Delayed,,,?,?
190122,282,71,htkc,,Delayed,,,?,?
190122,282,72,htkc,,Delayed,,,?,?
190122,282,73,fi,,Delayed,,lc seems to be dead. Troble poking but lc3 won't go in ,?,?
190122,282,74,fi,,Delayed,,,?,?
190122,282,75,fi_50,,Delayed,,,?,?
190122,282,76,epsp_50,,Delayed,,,?,?
190122,282,77,epsp,,Delayed,,,?,?
190122,282,78,igj,,Delayed,,,?,?
190122,282,79,igj_50,,Delayed,,,?,?
190122,282,80,htk,,Delayed,,,?,?
190122,282,81,a,,Delayed,,,?,?
190122,282,82,htkc,,Delayed,,,?,?
190122,282,83,ac,,Delayed,,,?,?
190122,282,84,h,,Delayed,,,?,?
190122,282,85,h10,,Delayed,,,?,?
